,Neighborhood,city,name,address,rating,user_ratings_total,types,lat,long
500,Palais-Bourbon,Paris,Paris,Paris,NaN,NaN,"['lodging', 'point_of_interest', 'establishment']",48.85661400000001,2.3522219
501,Palais-Bourbon,Paris,Hôtel Duc de Saint-Simon,"14 Rue de Saint-Simon, Paris",4,89,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8560518,2.323566199999999
502,Palais-Bourbon,Paris,Hôtel du Palais Bourbon,"49 Rue de Bourgogne, Paris",3.8,156,"['lodging', 'point_of_interest', 'establishment']",48.8565402,2.317256
503,Palais-Bourbon,Paris,Hôtel Bac St-Germain,"66 Rue du Bac, Paris",4.3,120,"['lodging', 'point_of_interest', 'establishment']",48.8557481,2.3250372
504,Palais-Bourbon,Paris,Hôtel De Varenne,"44 Rue de Bourgogne, Paris",4.2,83,"['lodging', 'point_of_interest', 'establishment']",48.8570275,2.3170282
505,Palais-Bourbon,Paris,Hotel Saint-Germain,"88 Rue du Bac, Paris",4.1,155,"['lodging', 'point_of_interest', 'establishment']",48.85476750000001,2.3241674
506,Palais-Bourbon,Paris,Hotel Sweden,"31 Rue Vaneau, Paris",4.2,431,"['lodging', 'point_of_interest', 'establishment']",48.852593,2.3192914
507,Palais-Bourbon,Paris,K+K Hotel Cayré,"4 Boulevard Raspail, Paris",4.5,138,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.855376,2.325389
508,Palais-Bourbon,Paris,Hôtel Bourgogne & Montana,"3 Rue de Bourgogne, Paris",NaN,NaN,"['restaurant', 'bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",48.8601573,2.3183324
509,Palais-Bourbon,Paris,Bellechasse Apartments,"57 Rue de Bellechasse, Paris",4.4,760,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.85507579999999,2.3201269
510,Palais-Bourbon,Paris,Arpège,"84 Rue de Varenne, Paris",2.3,8,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8557372,2.3170058
511,Palais-Bourbon,Paris,Le Pain Quotidien,"25 Rue de Varenne, Paris",5,8,"['local_government_office', 'point_of_interest', 'establishment']",48.8538182,2.3242096
512,Palais-Bourbon,Paris,Société Générale,"36 Rue de Bourgogne, Paris",3.9,426,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8574998,2.3174321
513,Palais-Bourbon,Paris,Collège des Ingénieurs,"215 Boulevard Saint-Germain, Paris",3.3,13,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8568291,2.324089
514,Palais-Bourbon,Paris,Matsuri Bac,"74 Rue du Bac, Paris",4,296,"['local_government_office', 'point_of_interest', 'establishment']",48.8554524,2.3249428
515,Palais-Bourbon,Paris,Ministry of Agriculture,"78 Rue de Varenne, Paris",4,645,,48.8554067,2.3184083
516,Palais-Bourbon,Paris,Le Basilic,"2 Rue Casimir Périer, Paris",2.3,47,,48.8576139,2.3188722
517,Palais-Bourbon,Paris,Le Saint Germain,"62 Rue du Bac, Paris",NaN,NaN,,48.85585409999999,2.3252904
518,Palais-Bourbon,Paris,Ministry of Education,"110 Rue de Grenelle, Paris",,,,48.8567193,2.3208493
519,Palais-Bourbon,Paris,7th arrondissement of Paris,7th arrondissement of Paris,,,,48.8537656,2.3122406
600,Popincourt,Paris,Paris,Paris,NaN,NaN,"['lodging', 'point_of_interest', 'establishment']",48.85661400000001,2.3522219
601,Popincourt,Paris,Agate Hotel,"8 Cours de Vincennes, Paris",4.3,270,"['lodging', 'point_of_interest', 'establishment']",48.84759659999999,2.3998553
602,Popincourt,Paris,Hôtel du Prince Eugène,"247 Boulevard Voltaire, Paris",3.7,253,"['tourist_attraction', 'point_of_interest', 'establishment']",48.8506507,2.392441299999999
603,Popincourt,Paris,Pavillon Nation,"13 Boulevard de Charonne, Paris",4,3858,"['electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",48.8493404,2.3987746
604,Popincourt,Paris,Place de la Nation,"Place de la Nation, Paris",3.5,1880,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",48.8483899,2.3959213
605,Popincourt,Paris,DARTY Nation,"21 Cours de Vincennes, Paris",4,2503,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.8483878,2.4013865
606,Popincourt,Paris,Chez Prosper,"7 Avenue du Trône, Paris",2,59,"['hardware_store', 'car_repair', 'furniture_store', 'home_goods_store', 'general_contractor', 'point_of_interest', 'store', 'establishment']",48.84862,2.3983205
607,Popincourt,Paris,Société Générale,"5 Place de la Nation, Paris",3.5,1984,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']",48.8493667,2.3949122
608,Popincourt,Paris,Castorama Nation,"9-11 Cours de Vincennes, Paris",5,1,"['embassy', 'point_of_interest', 'establishment']",48.8484063,2.400079799999999
609,Popincourt,Paris,Ali Abaddah,"115 Rue de Montreuil, Paris",2.7,361,"['lodging', 'point_of_interest', 'establishment']",48.85094609999999,2.3957435
610,Popincourt,Paris,Consulate General of Algeria,"3 Ter Boulevard de Charonne, Paris",4.2,94,"['real_estate_agency', 'point_of_interest', 'establishment']",48.8488432,2.3983875
611,Popincourt,Paris,Nouvel Hôtel,"24 Avenue du Bel air, Paris",3.5,24,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",48.84701760000001,2.3974333
612,Popincourt,Paris,ANNE CAROLE IMMOBILIER,"42 Boulevard de Charonne, Paris",3.6,1101,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.851127,2.398924
613,Popincourt,Paris,Café Capone,"8-10 Avenue du Trône, Paris",4.1,326,"['lodging', 'point_of_interest', 'establishment']",48.847756,2.398118
614,Popincourt,Paris,Chibby's Diner,"9 Rue Jaucourt, Paris",3.6,167,"['parking', 'point_of_interest', 'establishment']",48.8472222,2.3947222
615,Popincourt,Paris,Grand Hôtel du Bel Air,"102 Boulevard de Picpus, Paris",3.2,55,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8474053,2.3994035
616,Popincourt,Paris,Parking Indigo Paris Picpus Nation,"Face au, 96 Boulevard de Picpus, Paris",4.3,700,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",48.8471203,2.3992654
617,Popincourt,Paris,Fakra Restaurant Libanais,"317 Rue du Faubourg Saint-Antoine, Paris",3.5,57,,48.8489008,2.393857
618,Popincourt,Paris,White Dream,"38 Rue des Ormeaux, Paris",NaN,NaN,,48.8514792,2.4006897
619,Popincourt,Paris,12th arrondissement of Paris,12th arrondissement of Paris,,,,48.835128,2.4350817
700,Gobelins,Paris,Paris,Paris,NaN,NaN,"['bank', 'atm', 'finance', 'insurance_agency', 'point_of_interest', 'establishment']",48.85661400000001,2.3522219
701,Gobelins,Paris,Société Générale,"195 Rue de Tolbiac, Paris",4.1,560,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.825681,2.3500173
702,Gobelins,Paris,Chez Papa 13,"27 Rue de la Colonie, Paris",4.2,346,"['point_of_interest', 'establishment']",48.8248576,2.346939
703,Gobelins,Paris,Pavillon Montsouris,"20 Rue Gazan, Paris",NaN,NaN,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",48.82224249999999,2.3405775
704,Gobelins,Paris,OZONE Sarl,"67 Rue Vergniaud, Paris",3.7,3,"['point_of_interest', 'establishment']",48.82492999999999,2.3449857
705,Gobelins,Paris,French League for the Youth Hostels,"67 Rue Vergniaud, Paris",3.5,2,"['point_of_interest', 'establishment']",48.8248724,2.3453967
706,Gobelins,Paris,Parc Montsouris,2 Rue Gazan,4.3,4,"['point_of_interest', 'establishment']",48.82238030000001,2.3400501
707,Gobelins,Paris,Asfored - Edinovo Training,"21 Rue Charles Fourier, Paris",2.3,6,"['health', 'point_of_interest', 'establishment']",48.8250565,2.3512119
708,Gobelins,Paris,Grive Sarl,"70 Rue Barrault, Paris",NaN,NaN,"['point_of_interest', 'establishment']",48.82514279999999,2.346387599999999
709,Gobelins,Paris,Image Photo Express,"219 Rue de Tolbiac, Paris",4.1,10,"['doctor', 'health', 'point_of_interest', 'establishment']",48.8257,2.346121
710,Gobelins,Paris,Jonas Ecoute,"6 Boulevard Jourdan, Paris",4.5,4,"['point_of_interest', 'establishment']",48.819855,2.3434259
711,Gobelins,Paris,Office franco-allemand pour la Jeunesse,"51 Rue de l'Amiral Mouchez, Paris",3,2,"['lodging', 'point_of_interest', 'establishment']",48.8226261,2.3418759
712,Gobelins,Paris,Belhassen Willy,"4 Rue de la Providence, Paris",3.5,2,"['health', 'point_of_interest', 'establishment']",48.825364,2.349286
713,Gobelins,Paris,ALKRIS,"88 Rue Bobillot, Paris",5,4,,48.8237369,2.348042
714,Gobelins,Paris,Docteur Guillaume Marchand,"58 Rue Bobillot, Paris",4,69,,48.82547089999999,2.3498247
715,Gobelins,Paris,CNRS,"44 Rue de l'Amiral Mouchez, Paris",4.6,5,,48.8233099,2.3412469
716,Gobelins,Paris,Academy Inter Music De Paris,"1 Rue Henri Becque, Paris",NaN,NaN,,48.8251138,2.3430118
717,Gobelins,Paris,Foyer Tolbiac,"234 Rue de Tolbiac, Paris",,,,48.8264193,2.3432958
718,Gobelins,Paris,Ecale Benoît,"2 Rue d'Arcueil, Paris",,,,48.8209992,2.3426078
719,Gobelins,Paris,13th arrondissement of Paris,13th arrondissement of Paris,,,,48.8261973,2.3599379
800,Hôtel-de-Ville,Paris,Paris,Paris,NaN,NaN,"['lodging', 'point_of_interest', 'establishment']",48.85661400000001,2.3522219
801,Hôtel-de-Ville,Paris,Citadines Saint-Germain-des-Prés Paris,"53 ter Quai des Grands Augustins, Paris",4.1,139,"['lodging', 'point_of_interest', 'establishment']",48.8555091,2.3408736
802,Hôtel-de-Ville,Paris,Hôtel Esmeralda,"4 Rue Saint-Julien le Pauvre, Paris",4.4,303,"['lodging', 'point_of_interest', 'establishment']",48.8524547,2.3472064
803,Hôtel-de-Ville,Paris,Albe Hotel Saint Michel,"1 Rue de la Harpe, Paris",4.6,132,"['lodging', 'point_of_interest', 'establishment']",48.8530901,2.3447174
804,Hôtel-de-Ville,Paris,Hôtel 4 étoiles Parc Saint Séverin Paris 5ème - Esprit de France,"22 Rue de la Parcheminerie, Paris",4.6,88,"['lodging', 'point_of_interest', 'establishment']",48.85184049999999,2.3448082
805,Hôtel-de-Ville,Paris,Les Rives de Notre-Dame Hotel,"15 Quai Saint-Michel, Paris",3.8,179,"['lodging', 'point_of_interest', 'establishment']",48.8532461,2.345776
806,Hôtel-de-Ville,Paris,Hôtel Du Lys,"23 Rue Serpente, Paris",4.5,128,"['lodging', 'point_of_interest', 'establishment']",48.8522121,2.342066
807,Hôtel-de-Ville,Paris,Hotel Henri IV Rive Gauche,"Rue Saint-Jacques, Paris",4.5,240,"['lodging', 'point_of_interest', 'establishment']",48.8518743,2.3463436
808,Hôtel-de-Ville,Paris,Hôtel Britannique - Paris Louvre,"20 Avenue Victoria, Paris",4.2,647,"['lodging', 'point_of_interest', 'establishment']",48.8582861,2.3464944
809,Hôtel-de-Ville,Paris,Holiday Inn Paris - Notre Dame,"4 Rue Danton, Paris",4.7,273,"['lodging', 'point_of_interest', 'establishment']",48.8527923,2.3423043
810,Hôtel-de-Ville,Paris,Hôtel d'Aubusson,"33 Rue Dauphine, Paris",4.4,226,"['lodging', 'point_of_interest', 'establishment']",48.85473289999999,2.3395277
811,Hôtel-de-Ville,Paris,Melia Paris Notre-Dame,"7 Rue de l'Hôtel Colbert, Paris",4.3,471,"['lodging', 'point_of_interest', 'establishment']",48.8515299,2.3487001
812,Hôtel-de-Ville,Paris,Hôtel Europe Saint-Séverin,"38-40 Rue Saint-Séverin, Paris",4,1095,"['lodging', 'point_of_interest', 'establishment']",48.8527476,2.344271399999999
813,Hôtel-de-Ville,Paris,Hôtel Notre-Dame Saint Michel,"1 Quai Saint-Michel, Paris",4.2,285,"['lodging', 'point_of_interest', 'establishment']",48.85305029999999,2.346607
814,Hôtel-de-Ville,Paris,Hotel Cluny Square,"21 Boulevard Saint-Michel, Paris",4,253,"['lodging', 'point_of_interest', 'establishment']",48.8515299,2.3435024
